"","X","PassengerId","Survived","Pclass","Name","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked"
"160",160,160,0,3,"Sage, Master. Thomas Henry","male",NA,8,2,"CA. 2343",69.55,"","S"
"167",167,167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)","female",NA,0,1,"113505",55,"E33","S"
"169",169,169,0,1,"Baumann, Mr. John D","male",NA,0,0,"PC 17318",25.925,"","S"
"177",177,177,0,3,"Lefebre, Master. Henry Forbes","male",NA,3,1,"4133",25.4667,"","S"
"181",181,181,0,3,"Sage, Miss. Constance Gladys","female",NA,8,2,"CA. 2343",69.55,"","S"
"182",182,182,0,2,"Pernot, Mr. Rene","male",NA,0,0,"SC/PARIS 2131",15.05,"","C"
"186",186,186,0,1,"Rood, Mr. Hugh Roscoe","male",NA,0,0,"113767",50,"A32","S"
"187",187,187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)","female",NA,1,0,"370365",15.5,"","Q"
"197",197,197,0,3,"Mernagh, Mr. Robert","male",NA,0,0,"368703",7.75,"","Q"
"199",199,199,1,3,"Madigan, Miss. Margaret ""Maggie""","female",NA,0,0,"370370",7.75,"","Q"
"202",202,202,0,3,"Sage, Mr. Frederick","male",NA,8,2,"CA. 2343",69.55,"","S"
"215",215,215,0,3,"Kiernan, Mr. Philip","male",NA,1,0,"367229",7.75,"","Q"
"224",224,224,0,3,"Nenkoff, Mr. Christo","male",NA,0,0,"349234",7.8958,"","S"
"230",230,230,0,3,"Lefebre, Miss. Mathilde","female",NA,3,1,"4133",25.4667,"","S"
"236",236,236,0,3,"Harknett, Miss. Alice Phoebe","female",NA,0,0,"W./C. 6609",7.55,"","S"
"241",241,241,0,3,"Zabour, Miss. Thamine","female",NA,1,0,"2665",14.4542,"","C"
"242",242,242,1,3,"Murphy, Miss. Katherine ""Kate""","female",NA,1,0,"367230",15.5,"","Q"
"251",251,251,0,3,"Reed, Mr. James George","male",NA,0,0,"362316",7.25,"","S"
"257",257,257,1,1,"Thorne, Mrs. Gertrude Maybelle","female",NA,0,0,"PC 17585",79.2,"","C"
"261",261,261,0,3,"Smith, Mr. Thomas","male",NA,0,0,"384461",7.75,"","Q"
"265",265,265,0,3,"Henry, Miss. Delia","female",NA,0,0,"382649",7.75,"","Q"
"271",271,271,0,1,"Cairns, Mr. Alexander","male",NA,0,0,"113798",31,"","S"
"275",275,275,1,3,"Healy, Miss. Hanora ""Nora""","female",NA,0,0,"370375",7.75,"","Q"
"278",278,278,0,2,"Parkes, Mr. Francis ""Frank""","male",NA,0,0,"239853",0,"","S"
"285",285,285,0,1,"Smith, Mr. Richard William","male",NA,0,0,"113056",26,"A19","S"
"296",296,296,0,1,"Lewy, Mr. Ervin G","male",NA,0,0,"PC 17612",27.7208,"","C"
"299",299,299,1,1,"Saalfeld, Mr. Adolphe","male",NA,0,0,"19988",30.5,"C106","S"
"301",301,301,1,3,"Kelly, Miss. Anna Katherine ""Annie Kate""","female",NA,0,0,"9234",7.75,"","Q"
"302",302,302,1,3,"McCoy, Mr. Bernard","male",NA,2,0,"367226",23.25,"","Q"
"304",304,304,1,2,"Keane, Miss. Nora A","female",NA,0,0,"226593",12.35,"E101","Q"
"305",305,305,0,3,"Williams, Mr. Howard Hugh ""Harry""","male",NA,0,0,"A/5 2466",8.05,"","S"
"307",307,307,1,1,"Fleming, Miss. Margaret","female",NA,0,0,"17421",110.8833,"","C"
"325",325,325,0,3,"Sage, Mr. George John Jr","male",NA,8,2,"CA. 2343",69.55,"","S"
"331",331,331,1,3,"McCoy, Miss. Agnes","female",NA,2,0,"367226",23.25,"","Q"
"335",335,335,1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)","female",NA,1,0,"PC 17611",133.65,"","S"
"336",336,336,0,3,"Denkoff, Mr. Mitto","male",NA,0,0,"349225",7.8958,"","S"
"348",348,348,1,3,"Davison, Mrs. Thomas Henry (Mary E Finck)","female",NA,1,0,"386525",16.1,"","S"
"352",352,352,0,1,"Williams-Lambert, Mr. Fletcher Fellows","male",NA,0,0,"113510",35,"C128","S"
"355",355,355,0,3,"Yousif, Mr. Wazli","male",NA,0,0,"2647",7.225,"","C"
"359",359,359,1,3,"McGovern, Miss. Mary","female",NA,0,0,"330931",7.8792,"","Q"
"360",360,360,1,3,"Mockler, Miss. Helen Mary ""Ellie""","female",NA,0,0,"330980",7.8792,"","Q"
"365",365,365,0,3,"O'Brien, Mr. Thomas","male",NA,1,0,"370365",15.5,"","Q"
"368",368,368,1,3,"Moussa, Mrs. (Mantoura Boulos)","female",NA,0,0,"2626",7.2292,"","C"
"369",369,369,1,3,"Jermyn, Miss. Annie","female",NA,0,0,"14313",7.75,"","Q"
"376",376,376,1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)","female",NA,1,0,"PC 17604",82.1708,"","C"
"385",385,385,0,3,"Plotcharsky, Mr. Vasil","male",NA,0,0,"349227",7.8958,"","S"
"389",389,389,0,3,"Sadlier, Mr. Matthew","male",NA,0,0,"367655",7.7292,"","Q"
"410",410,410,0,3,"Lefebre, Miss. Ida","female",NA,3,1,"4133",25.4667,"","S"
"411",411,411,0,3,"Sdycoff, Mr. Todor","male",NA,0,0,"349222",7.8958,"","S"
"412",412,412,0,3,"Hart, Mr. Henry","male",NA,0,0,"394140",6.8583,"","Q"
"414",414,414,0,2,"Cunningham, Mr. Alfred Fleming","male",NA,0,0,"239853",0,"","S"
"416",416,416,0,3,"Meek, Mrs. Thomas (Annie Louise Rowley)","female",NA,0,0,"343095",8.05,"","S"
"421",421,421,0,3,"Gheorgheff, Mr. Stanio","male",NA,0,0,"349254",7.8958,"","C"
"426",426,426,0,3,"Wiseman, Mr. Phillippe","male",NA,0,0,"A/4. 34244",7.25,"","S"
"429",429,429,0,3,"Flynn, Mr. James","male",NA,0,0,"364851",7.75,"","Q"
"432",432,432,1,3,"Thorneycroft, Mrs. Percival (Florence Kate White)","female",NA,1,0,"376564",16.1,"","S"
"445",445,445,1,3,"Johannesen-Bratthammer, Mr. Bernt","male",NA,0,0,"65306",8.1125,"","S"
"452",452,452,0,3,"Hagland, Mr. Ingvald Olai Olsen","male",NA,1,0,"65303",19.9667,"","S"
"455",455,455,0,3,"Peduzzi, Mr. Joseph","male",NA,0,0,"A/5 2817",8.05,"","S"
"458",458,458,1,1,"Kenyon, Mrs. Frederick R (Marion)","female",NA,1,0,"17464",51.8625,"D21","S"
"460",460,460,0,3,"O'Connor, Mr. Maurice","male",NA,0,0,"371060",7.75,"","Q"
"465",465,465,0,3,"Maisner, Mr. Simon","male",NA,0,0,"A/S 2816",8.05,"","S"
"467",467,467,0,2,"Campbell, Mr. William","male",NA,0,0,"239853",0,"","S"
"469",469,469,0,3,"Scanlan, Mr. James","male",NA,0,0,"36209",7.725,"","Q"
"471",471,471,0,3,"Keefe, Mr. Arthur","male",NA,0,0,"323592",7.25,"","S"
"476",476,476,0,1,"Clifford, Mr. George Quincy","male",NA,0,0,"110465",52,"A14","S"
"482",482,482,0,2,"Frost, Mr. Anthony Wood ""Archie""","male",NA,0,0,"239854",0,"","S"
"486",486,486,0,3,"Lefebre, Miss. Jeannie","female",NA,3,1,"4133",25.4667,"","S"
"491",491,491,0,3,"Hagland, Mr. Konrad Mathias Reiersen","male",NA,1,0,"65304",19.9667,"","S"
"496",496,496,0,3,"Yousseff, Mr. Gerious","male",NA,0,0,"2627",14.4583,"","C"
"498",498,498,0,3,"Shellard, Mr. Frederick William","male",NA,0,0,"C.A. 6212",15.1,"","S"
"503",503,503,0,3,"O'Sullivan, Miss. Bridget Mary","female",NA,0,0,"330909",7.6292,"","Q"
"508",508,508,1,1,"Bradley, Mr. George (""George Arthur Brayton"")","male",NA,0,0,"111427",26.55,"","S"
"512",512,512,0,3,"Webber, Mr. James","male",NA,0,0,"SOTON/OQ 3101316",8.05,"","S"
"518",518,518,0,3,"Ryan, Mr. Patrick","male",NA,0,0,"371110",24.15,"","Q"
"523",523,523,0,3,"Lahoud, Mr. Sarkis","male",NA,0,0,"2624",7.225,"","C"
"525",525,525,0,3,"Kassem, Mr. Fared","male",NA,0,0,"2700",7.2292,"","C"
"528",528,528,0,1,"Farthing, Mr. John","male",NA,0,0,"PC 17483",221.7792,"C95","S"
"532",532,532,0,3,"Toufik, Mr. Nakli","male",NA,0,0,"2641",7.2292,"","C"
"534",534,534,1,3,"Peter, Mrs. Catherine (Catherine Rizk)","female",NA,0,2,"2668",22.3583,"","C"
"539",539,539,0,3,"Risien, Mr. Samuel Beard","male",NA,0,0,"364498",14.5,"","S"
"548",548,548,1,2,"Padro y Manent, Mr. Julian","male",NA,0,0,"SC/PARIS 2146",13.8625,"","C"
"553",553,553,0,3,"O'Brien, Mr. Timothy","male",NA,0,0,"330979",7.8292,"","Q"
"558",558,558,0,1,"Robbins, Mr. Victor","male",NA,0,0,"PC 17757",227.525,"","C"
"561",561,561,0,3,"Morrow, Mr. Thomas Rowan","male",NA,0,0,"372622",7.75,"","Q"
"564",564,564,0,3,"Simmons, Mr. John","male",NA,0,0,"SOTON/OQ 392082",8.05,"","S"
"565",565,565,0,3,"Meanwell, Miss. (Marion Ogden)","female",NA,0,0,"SOTON/O.Q. 392087",8.05,"","S"
"569",569,569,0,3,"Doharr, Mr. Tannous","male",NA,0,0,"2686",7.2292,"","C"
"574",574,574,1,3,"Kelly, Miss. Mary","female",NA,0,0,"14312",7.75,"","Q"
"579",579,579,0,3,"Caram, Mrs. Joseph (Maria Elias)","female",NA,1,0,"2689",14.4583,"","C"
"585",585,585,0,3,"Paulner, Mr. Uscher","male",NA,0,0,"3411",8.7125,"","C"
"590",590,590,0,3,"Murdlin, Mr. Joseph","male",NA,0,0,"A./5. 3235",8.05,"","S"
"594",594,594,0,3,"Bourke, Miss. Mary","female",NA,0,2,"364848",7.75,"","Q"
"597",597,597,1,2,"Leitch, Miss. Jessie Wills","female",NA,0,0,"248727",33,"","S"
"599",599,599,0,3,"Boulos, Mr. Hanna","male",NA,0,0,"2664",7.225,"","C"
"602",602,602,0,3,"Slabenoff, Mr. Petco","male",NA,0,0,"349214",7.8958,"","S"
"603",603,603,0,1,"Harrington, Mr. Charles H","male",NA,0,0,"113796",42.4,"","S"
"612",612,612,0,3,"Jardin, Mr. Jose Neto","male",NA,0,0,"SOTON/O.Q. 3101305",7.05,"","S"
"613",613,613,1,3,"Murphy, Miss. Margaret Jane","female",NA,1,0,"367230",15.5,"","Q"
"614",614,614,0,3,"Horgan, Mr. John","male",NA,0,0,"370377",7.75,"","Q"
"630",630,630,0,3,"O'Connell, Mr. Patrick D","male",NA,0,0,"334912",7.7333,"","Q"
"634",634,634,0,1,"Parr, Mr. William Henry Marsh","male",NA,0,0,"112052",0,"","S"
"640",640,640,0,3,"Thorneycroft, Mr. Percival","male",NA,1,0,"376564",16.1,"","S"
"644",644,644,1,3,"Foo, Mr. Choong","male",NA,0,0,"1601",56.4958,"","S"
"649",649,649,0,3,"Willey, Mr. Edward","male",NA,0,0,"S.O./P.P. 751",7.55,"","S"
"651",651,651,0,3,"Mitkoff, Mr. Mito","male",NA,0,0,"349221",7.8958,"","S"
"654",654,654,1,3,"O'Leary, Miss. Hanora ""Norah""","female",NA,0,0,"330919",7.8292,"","Q"
"657",657,657,0,3,"Radeff, Mr. Alexander","male",NA,0,0,"349223",7.8958,"","S"
"668",668,668,0,3,"Rommetvedt, Mr. Knud Paust","male",NA,0,0,"312993",7.775,"","S"
"670",670,670,1,1,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)","female",NA,1,0,"19996",52,"C126","S"
"675",675,675,0,2,"Watson, Mr. Ennis Hastings","male",NA,0,0,"239856",0,"","S"
"681",681,681,0,3,"Peters, Miss. Katie","female",NA,0,0,"330935",8.1375,"","Q"
"693",693,693,1,3,"Lam, Mr. Ali","male",NA,0,0,"1601",56.4958,"","S"
"698",698,698,1,3,"Mullens, Miss. Katherine ""Katie""","female",NA,0,0,"35852",7.7333,"","Q"
"710",710,710,1,3,"Moubarek, Master. Halim Gonios (""William George"")","male",NA,1,1,"2661",15.2458,"","C"
"712",712,712,0,1,"Klaber, Mr. Herman","male",NA,0,0,"113028",26.55,"C124","S"
"719",719,719,0,3,"McEvoy, Mr. Michael","male",NA,0,0,"36568",15.5,"","Q"
"728",728,728,1,3,"Mannion, Miss. Margareth","female",NA,0,0,"36866",7.7375,"","Q"
"733",733,733,0,2,"Knight, Mr. Robert J","male",NA,0,0,"239855",0,"","S"
"739",739,739,0,3,"Ivanoff, Mr. Kanio","male",NA,0,0,"349201",7.8958,"","S"
"740",740,740,0,3,"Nankoff, Mr. Minko","male",NA,0,0,"349218",7.8958,"","S"
"741",741,741,1,1,"Hawksford, Mr. Walter James","male",NA,0,0,"16988",30,"D45","S"
"761",761,761,0,3,"Garfirth, Mr. John","male",NA,0,0,"358585",14.5,"","S"
"767",767,767,0,1,"Brewe, Dr. Arthur Jackson","male",NA,0,0,"112379",39.6,"","C"
"769",769,769,0,3,"Moran, Mr. Daniel J","male",NA,1,0,"371110",24.15,"","Q"
"774",774,774,0,3,"Elias, Mr. Dibo","male",NA,0,0,"2674",7.225,"","C"
"777",777,777,0,3,"Tobin, Mr. Roger","male",NA,0,0,"383121",7.75,"F38","Q"
"779",779,779,0,3,"Kilgannon, Mr. Thomas J","male",NA,0,0,"36865",7.7375,"","Q"
"784",784,784,0,3,"Johnston, Mr. Andrew G","male",NA,1,2,"W./C. 6607",23.45,"","S"
"791",791,791,0,3,"Keane, Mr. Andrew ""Andy""","male",NA,0,0,"12460",7.75,"","Q"
"793",793,793,0,3,"Sage, Miss. Stella Anna","female",NA,8,2,"CA. 2343",69.55,"","S"
"794",794,794,0,1,"Hoyt, Mr. William Fisher","male",NA,0,0,"PC 17600",30.6958,"","C"
"816",816,816,0,1,"Fry, Mr. Richard","male",NA,0,0,"112058",0,"B102","S"
"826",826,826,0,3,"Flynn, Mr. John","male",NA,0,0,"368323",6.95,"","Q"
"827",827,827,0,3,"Lam, Mr. Len","male",NA,0,0,"1601",56.4958,"","S"
"829",829,829,1,3,"McCormack, Mr. Thomas Joseph","male",NA,0,0,"367228",7.75,"","Q"
"833",833,833,0,3,"Saad, Mr. Amin","male",NA,0,0,"2671",7.2292,"","C"
"838",838,838,0,3,"Sirota, Mr. Maurice","male",NA,0,0,"392092",8.05,"","S"
"840",840,840,1,1,"Marechal, Mr. Pierre","male",NA,0,0,"11774",29.7,"C47","C"
"847",847,847,0,3,"Sage, Mr. Douglas Bullen","male",NA,8,2,"CA. 2343",69.55,"","S"
"850",850,850,1,1,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)","female",NA,1,0,"17453",89.1042,"C92","C"
"860",860,860,0,3,"Razi, Mr. Raihed","male",NA,0,0,"2629",7.2292,"","C"
"864",864,864,0,3,"Sage, Miss. Dorothy Edith ""Dolly""","female",NA,8,2,"CA. 2343",69.55,"","S"
"869",869,869,0,3,"van Melkebeke, Mr. Philemon","male",NA,0,0,"345777",9.5,"","S"
"879",879,879,0,3,"Laleff, Mr. Kristo","male",NA,0,0,"349217",7.8958,"","S"
"889",889,889,0,3,"Johnston, Miss. Catherine Helen ""Carrie""","female",NA,1,2,"W./C. 6607",23.45,"","S"
